$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;176;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;14;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3068;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;112;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;112;554
GOUY;BAUDOUR;Gas;B;E001;380;70;154;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;30;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;78;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;599;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;37;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;463;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;38;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;554;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;878;1569
SERAING;SERAING;Gas;B;E001;220;47,6;138;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;94;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;357;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;79;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;342;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;84;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;205;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;40;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;253;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;143;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;372;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;185;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;743;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;217;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;1753;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;56;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;163;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;253;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;18;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;199;663
ALTEN;string;Pumpspeicher;D;E003;string;0;2104;2104
ATKSH;string;Wasserspeicher;D;E003;string;0;310;310
AUDOR;string;Öl;D;E001;string;17,4;18;87
BASF;string;Gas;D;E001;string;32;32;160
BECHT;string;Gas;D;E001;string;11;11;55
BERGM;string;Steinkohle;D;E001;string;103,5;345;345
BERGS;string;Gas;D;E001;string;2,44;3;13
BERTRANGE;LEUDELANGE;Müll;D;E001;220;0;47;47
BEXBA;string;Steinkohle;D;E001;string;216,3;721;721
BIBLI;string;KKW;D;E001;string;802,2;2386;2386
BISCH;string;Gas;D;E001;string;67;67;335
BIXTE;string;Pumpspeicher;D;E003;string;0;8;8
BLOCK;string;Steinkohle;D;E001;string;17,6;197;475
BOCHU;string;Steinkohle;D;E001;string;39,9;413;413
BOXBE;string;Braunkohle;D;E001;string;0;0;1787
BRAUW;string;Braunkohle;D;E001;string;0;0;842
BROKD;string;KKW;D;E001;string;987;1410;1410
BRUNS;string;Öl;D;E001;string;12,7;823;1027
CHARL;string;Gas;D;E001;string;14;130;643
DAXLA;string;Gas;D;E001;string;70,6;576;858
DOLLE;string;Steinkohle;D;E001;string;10,1;282;362
ELMEN;string;Steinkohle;D;E001;string;44,7;473;473
EMDEN;string;Gas;D;E001;string;10;10;50
ERFUR;string;Pumpspeicher;D;E003;string;0;756;756
ESCH;TWINERG;GuD;D;E001;220;82,934;83;415
ETZEN;string;Pumpspeicher;D;E003;string;0;254;254
FARGE;string;Steinkohle;D;E001;string;105;105;350
FLEBOUR;ESCH-SUR-SURE;Wasserspeicher;D;E003;220;0;13;13
FRANF;string;Steinkohle;D;E001;string;11,2;108;287
GAREN;string;Gas;D;E001;string;83,4;84;417
GERST;string;Steinkohle;D;E001;string;11;1045;2307
GOHRP;string;Braunkohle;D;E001;string;0;0;1231
GRAFE;string;KKW;D;E001;string;892,5;1275;1275
GROHN;string;KKW;D;E001;string;952;1360;1360
GROSG;string;Öl;D;E001;string;17;70;347
GROSK;string;Steinkohle;D;E001;string;74,7;838;1674
GUNDE;string;Steinkohle;D;E001;string;33,6;2806;3292
GURTW;string;Pumpspeicher;D;E003;string;0;1820;1820
HALFE;string;Braunkohle;D;E001;string;0;0;85
HAMBO;string;Steinkohle;D;E001;string;22,5;194;194
HANEK;string;Gas;D;E001;string;11;1493;2149
HANNO;string;Gas;D;E001;string;20,4;67;332
HBORN;string;Gas;D;E001;string;18;51;255
HEILB;string;Steinkohle;D;E001;string;25,5;390;390
HELMS;string;Braunkohle;D;E001;string;0;0;352
HERNE;string;Steinkohle;D;E001;string;3,4;119;132
HEYDE;string;Steinkohle;D;E001;string;2,4;941;1197
HOHEN;string;Öl;D;E001;string;15,48;16;78
HUNTO;string;Gas;D;E001;string;64,2;65;321
INGOL;string;Öl;D;E001;string;77,2;156;772
IRSCH;string;Gas;D;E001;string;4,6;93;461
ISAR;string;KKW;D;E001;string;614,6;2288;2288
ITZEH;string;Öl;D;E001;string;17,6;18;88
JAENS;string;Braunkohle;D;E001;string;0;0;2790
KIEL;string;Steinkohle;D;E001;string;96,9;323;323
KLOST;string;Pumpspeicher;D;E003;string;0;160;160
KNAPS;string;Braunkohle;D;E001;string;0;160;852
KOEPC;string;Pumpspeicher;D;E003;string;0;631;631
KRIEG;string;Gas;D;E001;string;10,6;176;876
KRUCK;string;Gas;D;E001;string;2,4;541;714
KRUEM;string;KKW;D;E001;string;0;1340;1340
KUEHM;string;Pumpspeicher;D;E003;string;0;720;720
KUPFE;string;Gas;D;E001;string;11,4;12;57
KUSEN;string;Steinkohle;D;E001;string;103,5;690;690
LANDE;string;Gas;D;E001;string;100;100;500
LAUCH;string;Braunkohle;D;E001;string;0;24;1178
LEUPO;string;Wasserspeicher;D;E003;string;0;46;46
LIPPB;string;Steinkohle;D;E001;string;0;490;596
LUDER;string;Pumpspeicher;D;E003;string;0;320;320
MALCH;string;Gas;D;E001;string;7,5;32;152
MARIE;string;Öl;D;E001;string;4,64;20;96
MARKB;string;Pumpspeicher;D;E003;string;0;2092;2092
MEHRU;string;Steinkohle;D;E001;string;207;690;690
MENGE;string;Steinkohle;D;E001;string;215,1;717;717
METZI;string;Pumpspeicher;D;E003;string;0;180;180
MITTE;string;Gas;D;E001;string;10,2;200;635
MOELL;string;Steinkohle;D;E001;string;95,4;640;640
MUEND;string;Gas;D;E001;string;60,6;61;303
NDVIE;string;Steinkohle;D;E001;string;31;309;433
NECKA;string;KKW;D;E001;string;27;2378;2486
NEURO;string;Steinkohle;D;E001;string;60,75;1063;1063
NIEDS;string;Pumpspeicher;D;E003;string;0;2192;2192
NWIES;string;Gas;D;E001;string;0;12;115
OBERN;string;Wasserspeicher;D;E003;string;0;72;72
OBERZ;string;Gas;D;E001;string;0;110;2600
OPLAD;string;Braunkohle;D;E001;string;0;4;1081
OSTER;string;Gas;D;E001;string;0;63;581
PHILI;string;KKW;D;E001;string;623;2292;2292
PLEIN;string;Öl;D;E001;string;138,8;139;694
POEPI;string;Steinkohle;D;E001;string;103,5;345;345
POLSU;string;Steinkohle;D;E001;string;103,5;1021;1021
PULGA;string;Braunkohle;D;E001;string;0;0;1750
RAITE;string;Gas;D;E001;string;15;30;150
REMPT;string;Pumpspeicher;D;E003;string;0;160;160
REUTE;string;Steinkohle;D;E001;string;6;282;282
RHEIN;string;Gas;D;E001;string;8;188;407
ROMME;string;Braunkohle;D;E001;string;0;0;5253
ROOST;REDANGE;Gas;D;E001;220;7,534;8;38
ROSTO;string;Steinkohle;D;E001;string;152,4;508;508
ROXEL;string;Öl;D;E001;string;4,66;15;72
SCHOL;string;Steinkohle;D;E001;string;21;70;70
SIEGB;string;Braunkohle;D;E001;string;0;0;118
STREU;string;Pumpspeicher;D;E003;string;0;40;40
SWPUM;string;Braunkohle;D;E001;string;0;0;1536
THYRO;string;Gas;D;E001;string;7,3;64;300
TIENG;string;Gas;D;E001;string;0;948;980
UCHTE;string;Gas;D;E001;string;25;681;781
UENTR;string;Gas;D;E001;string;167,6;168;838
UNTER;string;KKW;D;E001;string;941,5;1345;1345
URBER;string;Pumpspeicher;D;E003;string;0;440;440
VELTH;string;Steinkohle;D;E001;string;13;476;796
VIANDEN;VIANDEN;Pumpspeicher;D;E003;220;-850;1096;1096
WALDE;string;Wasserspeicher;D;E003;string;0;1266;1266
WALSU;string;Steinkohle;D;E001;string;38,7;538;628
WENDL;string;Gas;D;E001;string;10;142;553
WESTE;string;Steinkohle;D;E001;string;238,2;239;794
WILHE;string;Steinkohle;D;E001;string;11,2;769;813
ZENSE;string;Steinkohle;D;E001;string;208,5;1390;1390
ZUKUN;string;Laufwasser;D;E001;string;0;28;28
AMAGER;AMAGERVAERKET;Steinkohle;DK_O;E001;150;122,445;409;409
ASNAES POWER STATION;ASNAESVAERKET;Ölschiefer;DK_O;E001;380;211,03;573;1056
AVEDÖRE POWER STATION;AVEDÖRE VAERKET;Gas;DK_O;E001;380;161,63;809;809
BORUP;HILLERÖD;Gas;DK_O;E001;150;15,03;76;76
GLENTEGÄRD;DTU;Gas;DK_O;E001;380;7,23;37;37
H. C. ÖRSTED POWER STATION;H. C. ÖRSTED VAERKET;Gas;DK_O;E001;380;26,23;132;132
HASLEV;HASLEV;Heizkraftwerk;DK_O;E001;150;0;4;4
HEJNINGE;SLAGELSE;Heizkraftwerk;DK_O;E001;150;0;10;10
KYNDBY;KYNDBYVAERKET;Öl;DK_O;E001;380;134,83;135;675
RINGSTED;RINGSTED;Gas;DK_O;E001;150;1,83;10;10
STIGSNAES;STIGSNAESVAERKET;Steinkohle;DK_O;E001;150;122,145;408;408
SVANEMÖLLE;SVANEMÖLLEVAERKET;Steinkohle;DK_O;E001;150;23,745;80;80
TEGLSTRUPGÄRD;HELSINGÖR;Gas;DK_O;E001;150;11,03;56;56
VALSEVAERKET;HELSINGE;Gas;DK_O;E001;150;0,25;2;2
VESTLOLLAND;MARIBO;Heizkraftwerk;DK_O;E001;150;0;8;8
ABILDSKOV;GLAMSBJERG;Gas;DK_W;E001;150;0,37;1;2
BREDEKAER;HJÖRRING;Gas;DK_W;E001;150;11,63;12;59
ENSTED;ENSTED VAERKET;Steinkohle;DK_W;E001;220;186,945;187;624
ESBJERG;ESBJERG VAERKET;Steinkohle;DK_W;E001;150;112,845;156;377
FYNS;FYNS VAERKET;Steinkohle;DK_W;E001;380;201,945;674;674
HATTING;HORSENS;Müll;DK_W;E001;150;0;34;34
HERNING;HERNING;Gas;DK_W;E001;150;17,43;18;88
LYKKEGÄRD;BRAMMING;Gas;DK_W;E001;150;2,77;3;14
MAGSTRUP;HADERSLEV;Müll;DK_W;E001;150;0;2;2
MOSELUND;RANDERS;Steinkohle;DK_W;E001;150;15,045;51;51
NIBSTRUP;TAARS;Gas;DK_W;E001;150;0,63;1;4
NORDJYLLANDS;NORDJYLLANDS VAERKET 1;Steinkohle;DK_W;E001;380;197,445;659;659
SKAERBAEKVAERKET;SKAERBAEKVAERKET;Gas;DK_W;E001;380;78,03;79;391
STRUER;MÄBJERG;Heizkraftwerk;DK_W;E001;150;0;27;27
STUDSTRUP;STUDSTRUPVAERKET;Ölschiefer;DK_W;E001;380;139,63;140;699
SVENDBORG;RUDKÖBING;Heizkraftwerk;DK_W;E001;150;0;1;1
TANGE;BJERRINGBRO;Gas;DK_W;E001;150;0;13;21
THYREGOD;NÖRRE SNEDE;Gas;DK_W;E001;150;0,35;2;5
ÄSTRUP;GRENÄ;Heizkraftwerk;DK_W;E001;150;0;17;17
ARAMON;ARAMON;Öl;F;E001;380;297,186;298;1486
ARRIGHI;ARRIGHI;Gas;F;E001;220;67,186;68;336
ASTON;ASTON;Wasserspeicher;F;E003;220;0;156;156
AUSSOIS;AUSSOIS;Wasserspeicher;F;E003;220;0;238;238
BAIXAS;CALCE;Müll;F;E001;380;0;0;108
BATZENDORF;SCHWEIGHOUSE-SUR-MODER;Müll;F;E001;220;0;0;89
BAYET;BAYET;Gas;F;E001;380;98,786;99;494
BEAUCHAMPS;IKOS - FRESNOY FOLNY;Gas;F;E001;220;17,366;18;87
BEAUREGARD;BLOIS;Müll;F;E001;220;0;0;92
BELLEVILLE;BELLEVILLE;KKW;F;E001;380;1834;2620;2620
BERANVILLE;EVREUX;Müll;F;E001;220;0;0;93
BIANCON;ST. CASSIEN;Wasserspeicher;F;E003;380;0;61;61
BRAEK;BRAEK;Gas;F;E001;220;177,186;178;886
BRENNILIS;BRENNILIS;Gas;F;E001;220;76,186;77;381
BROMMAT;BROMMAT;Wasserspeicher;F;E003;380;0;484;484
CAEN;LDC;Gas;F;E001;220;17,246;18;87
CANTEGRIT;PONTENX-LES-FORGES;Müll;F;E001;380;0;0;89
CATTENOM;CATTENOM;KKW;F;E001;380;3640;4663;5200
CERGY;AZALYS;Müll;F;E001;380;0;0;96
CHALON;CHAGNY;Gas;F;E001;220;17,426;18;88
CHATEAURENARD;AVIGNON-VEDENE;Müll;F;E001;220;0;0;99
CHINON B;CHINON;KKW;F;E001;380;2534;3620;3620
CHOOZ B;CHOOZ B;KKW;F;E001;380;2100;3000;3000
CIVAUX;CIVAUX;KKW;F;E001;380;2093;2990;2990
CIZE;CIZE-BOLOZON;Wasserspeicher;F;E003;220;0;81;81
CORDEMAIS;CORDEMAIS-POSTE;Steinkohle;F;E001;380;805,779;806;2686
CORMEILLES;ARGENTEUIL;Müll;F;E001;220;0;119;782
CREIL;ESIANE;Müll;F;E001;220;0;0;100
CROIX-DE-METZ;CROIX-DE-METZ;Gas;F;E001;220;0;0;0
CRUAS-MEYSSE;CRUAS;KKW;F;E001;380;2562;3660;3660
CURBANS;LAZER;Wasserspeicher;F;E003;220;0;261;261
DAMPIERRE-EN-BURLY;DAMPIERRE;KKW;F;E001;380;2492;3560;3560
DIRINON;DIRINON;Gas;F;E001;220;51,186;52;256
DOBERIE;LAMBALLE;Müll;F;E001;220;0;0;88
FAVARY;PROVENCE SNET;Steinkohle;F;E001;220;286,179;287;954
FESSENHEIM;FESSENHEIM 1;KKW;F;E001;380;1232;1760;1760
FLAMANVILLE;FLAMANVILLE;KKW;F;E001;380;1862;1862;2660
FLEAC;CALITOM;Gas;F;E001;220;17,346;18;87
FLOIRAC;BORDEAUX-BEGLES;Müll;F;E001;220;0;0;109
FOUSCAIS;ST. GUILLERME;Wasserspeicher;F;E003;220;0;156;156
GARCHIZY;FOURCHAMBAULT;Müll;F;E001;220;0;0;90
GENISSIAT;BELLEGARDE-SUR-VALSERINE;Müll;F;E001;380;0;460;557
GERVANS;CHAMPBLAIN;Gas;F;E001;220;25,786;26;129
GIEN;GIEN;Müll;F;E001;220;0;0;92
GOLFECH;GOLFECH;KKW;F;E001;380;1834;1834;2620
GRAVELINES;GRAVELINES;KKW;F;E001;380;3822;3822;5460
HORNAING;HORNAING;Steinkohle;F;E001;220;0;102;431
IZERNORE;MOUX-CHARMINES;Wasserspeicher;F;E003;220;0;68;68
JACQUARD;GRANGENT;Wasserspeicher;F;E003;220;0;77;77
L'ARDOISE;ORANGE;Gas;F;E001;220;17,386;18;87
L'ESTALON;TOULON;Müll;F;E001;220;0;0;106
L'HOSPITALET;L'HOSPITALET;Wasserspeicher;F;E003;220;0;133;133
LA BATHIE;LA BATHIE;Wasserspeicher;F;E003;380;0;586;586
LA COCHE;LA COCHE;Pumpspeicher;F;E003;380;-340;360;360
LA MAXE;LA MAXE;Steinkohle;F;E001;220;175,779;176;586
LA MOLE;VAL-BEYNETTE;Wasserspeicher;F;E003;220;0;786;786
LANNEMEZAN;LE PORTILLON;Wasserspeicher;F;E003;220;0;135;135
LARDIT;LARDIT;Wasserspeicher;F;E003;220;0;85;85
LE BLAYAIS;LE BLAYAIS;KKW;F;E001;380;2548;3640;3640
LE BREUIL;VALETTE;Wasserspeicher;F;E003;380;0;506;506
LE BROC-CARROS;ST. MARTIN-VESUBIE;Wasserspeicher;F;E003;380;0;182;182
LE BUGEY;LE BUGEY;KKW;F;E001;380;2506;3580;3580
LE CHASTANG;ROSIERS D'EGLETONS;Müll;F;E001;220;0;333;424
LE CHEYLAS;LE CHEYLAS;Pumpspeicher;F;E003;380;-480;540;540
LE HAVRE;LE HAVRE;Steinkohle;F;E001;380;460,779;461;1536
LE HOURAT;LICQ-ATHEREY;Wasserspeicher;F;E003;220;0;246;246
LE SAUTET;SAUTET;Wasserspeicher;F;E003;220;0;116;116
LE TRICASTIN;LE TRICASTIN;KKW;F;E001;380;2562;3660;3660
LES BREVIERES;LES BREVIERES;Wasserspeicher;F;E003;220;0;436;436
LES ESPIERS;ORISANE;Müll;F;E001;220;0;0;192
LUCY;LUCY;Steinkohle;F;E001;220;106,779;107;356
MARSILLON;PAU-LESCAR;Müll;F;E001;380;0;0;92
MARTIGUES;MARTIGUES;Öl;F;E001;220;203,186;204;1016
MAZE;AUZERETTE;Wasserspeicher;F;E003;220;0;69;69
MENTON;ST. DALMAS;Wasserspeicher;F;E003;220;0;90;90
MERENS;TEICH;Wasserspeicher;F;E003;220;0;392;392
MIEGEBAT;ARTOUSTE;Wasserspeicher;F;E003;220;0;128;128
MIONS;VALORLY;Müll;F;E001;380;0;0;94
MONTAHUT;MONTAHUT;Wasserspeicher;F;E003;220;0;143;143
MONTEREAU;MONTEREAU;Gas;F;E001;380;91,186;92;456
MONTEYNARD;MONTEYNARD;Wasserspeicher;F;E003;220;0;506;506
MONTEZIC;MONTEZIC POSTE;Pumpspeicher;F;E003;380;-840;950;950
MORBRAS;VAIRES;Steinkohle;F;E001;380;192,279;193;641
MOUGINS;ANTIBES;Müll;F;E001;220;0;0;96
MOULNEAUX;ISSEANE;Müll;F;E001;220;0;0;232
MÜLHAUSEN;SAUSHEIM;Müll;F;E001;220;0;0;99
NANTES;CHEVIRE;Gas;F;E001;220;87,186;88;436
NIORT;GIZAY;Gas;F;E001;220;17,346;18;87
NOGENT/SEINE;NOGENT;KKW;F;E001;380;1834;1834;2620
PALUEL;PENLY POSTE PALUEL;KKW;F;E001;380;3724;3724;5320
PARISET;COGERI;Gas;F;E001;220;21,026;22;106
PASSY;PASSY;Müll;F;E001;220;0;0;90
PENLY;PENLY CENTRALE;KKW;F;E001;380;1862;2660;2660
PEYRAT;VASSIVIERE;Wasserspeicher;F;E003;220;0;155;155
PEYROU;LUNEL-VIEL;Müll;F;E001;220;0;0;96
PIED-DE-BORNE;PUYLAURENT;Wasserspeicher;F;E003;220;0;194;194
PLAINE HAUTE;GUERLEDAN;Wasserspeicher;F;E003;380;0;56;56
PORCHEVILLE B;PORCHEVILLE;Öl;F;E001;380;497,186;498;2486
PORT BOUC;COMBIGOLFE;Gas;F;E001;220;105,186;337;1677
PRAGNERES;SOULOM;Wasserspeicher;F;E003;220;-331,15;429;429
PREGUILLAC;ST. LAURENT DE COGNAC;Gas;F;E001;380;17,346;18;87
PUSY;NOIDANS-LE-FERROUX;Müll;F;E001;220;0;0;90
PYMONT;LONS-LE-SAUNIER;Müll;F;E001;220;0;0;87
QUARTES;P. SAMBRE;Gas;F;E001;220;99,586;100;498
QUINSON;QUINSON;Wasserspeicher;F;E003;220;0;81;81
RABATAU;LA CIOTAT;Gas;F;E001;220;17,426;18;88
RECY;AUREADE;Müll;F;E001;220;0;0;94
REVIN;REVIN;Pumpspeicher;F;E003;380;-800;848;848
RIORGES;VILLEREST;Wasserspeicher;F;E003;220;0;98;98
RUEYRES;ST. ETIENNE-CANTALES;Wasserspeicher;F;E003;380;0;712;712
SALLES CURAN;BAGE;Wasserspeicher;F;E003;220;0;110;110
SANDOUVILLE;OREADE;Müll;F;E001;220;0;0;103
SAVIGNAC;MARCILLAC;Wasserspeicher;F;E003;220;0;70;70
SEPTEMES;SEMAG;Gas;F;E001;220;17,346;18;87
SERRE-PONCON;LES CLAUX;Wasserspeicher;F;E003;220;0;528;528
SISTERON;SISTERON;Wasserspeicher;F;E003;220;0;254;254
ST-ALBAN-ST-MAURICE;ST. ALBAN;KKW;F;E001;380;1869;1869;2670
ST-LAURENT-DES-EAUX 1;ST-LAURENT-DES-EAUX 1;KKW;F;E001;380;640,5;915;915
ST-LAURENT-DES-EAUX 2;ST-LAURENT-DES-EAUX 2;KKW;F;E001;380;640,5;915;915
ST. AVOLD;EMILE-HUCHET;Steinkohle;F;E001;380;418,779;419;1396
ST. CROIX;CHAUDANNE;Wasserspeicher;F;E003;220;0;370;370
ST. GUILLERME;CHAMPCELLA;Wasserspeicher;F;E003;220;0;52;52
ST. NAZAIRE;MONTOIR-DE-BRETAGNE;Gas;F;E001;220;104,186;105;521
ST. VICTOR;LE POUGET;Pumpspeicher;F;E003;220;-41,5;612;612
STRASBOURG;STRASBOURG 2;Müll;F;E001;220;0;0;108
