$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;879;879;879;879;879;879;879;879;879
BRUEGEL;SYRAL;Gas;B;E001;380;9,6;48;48;48;48;48;48;48;48;48;48
BRUEGEL;DEUX-ACREN;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
DOEL;KALLO;Gas;B;E001;380;52,2;261;261;261;261;261;261;261;261;261;261
DOEL;EXXON;Gas;B;E001;380;26;130;130;130;130;0;0;130;0;0;130
DOEL;ZWIJNDRECHT;Gas;B;E001;380;11,6;58;58;58;58;58;58;58;58;58;58
DOEL;LILLO DEGUSSA;Gas;B;E001;380;17;85;85;85;85;85;85;85;85;85;85
DOEL;MONSANTO;Gas;B;E001;380;8,6;43;43;43;43;43;43;43;43;43;43
DOEL;LANXESS;Gas;B;E001;380;8,6;43;43;43;43;43;43;43;43;43;43
DOEL;WILMARSDONK;Gas;B;E001;380;30,8;154;154;154;154;154;154;154;154;154;154
DOEL;DOEL;KKW;B;E001;380;2037,7;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
DROGENBOS;DROGENBOS;Gas;B;E001;380;107,6;538;538;538;538;538;538;538;538;538;538
DROGENBOS;IXELLES;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
EEKLO;HERDERSBRUG;Gas;B;E001;380;92;460;460;460;460;460;460;460;460;460;460
EEKLO;ZEEBRUGGE 1;Gas;B;E001;380;8;40;40;40;40;40;40;40;40;40;40
EEKLO;ZEEBRUGGE 2;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
EEKLO;AALTER;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
EEKLO;ZEDELGEM;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
GOUY;BAUDOUR;Gas;B;E001;380;70;350;350;350;350;350;350;350;350;350;350
GOUY;AMERCOEUR;Gas;B;E001;380;84;420;420;420;420;420;420;420;420;420;420
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;17;0;0;0;0;0;0;0;0;0
IZEGEM;IZEGEM;Gas;B;E001;380;4,4;22;22;22;22;22;22;22;22;22;22
IZEGEM;HARELBEKE;Gas;B;E001;380;16,6;83;0;79,159;0;0;0;79,159;0;0;0
IZEGEM;NOORDSCHOTE;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
IZEGEM;BUDA;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
JUPILLE;MONSIN 1;Gas;B;E001;220;14,74;74;74;74;74;0;0;74;74;74;74
JUPILLE;TURON-THEUX;Öl;B;E001;220;3,4;17;0;0;0;0;0;0;0;0;0
LIXHE;SAPPI;Gas;B;E001;380;8,6;43;43;43;43;0;0;43;0;43;43
LIXHE;LANGERLO;Steinkohle;B;E001;380;166,8;556;556;556;556;556;556;556;556;556;556
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;30;30;30;30;0;0;30;0;0;30
MASSENHOVEN;BEERSE;Öl;B;E001;380;6,4;32;0;0;0;0;0;0;0;0;0
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;43;43;43;43;0;0;43;0;0;43
MEERHOUT;T-POWER;Gas;B;E001;380;84;420;420;420;420;0;0;420;297,9215;420;420
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;15;15;15;15;0;0;15;0;0;15
MERCATOR;BEVEREN;Gas;B;E001;380;4,56;23;0;23;0;0;0;23;0;0;0
MONCEAU;MARCINELLE;Gas;B;E001;220;82;410;410;410;264,1589;0;0;410;0;0;264,1589
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;69,2;346;346;346;346;346;346;346;346;346;346
RODENHUIZE;RINGVAART;Gas;B;E001;380;71,4;357;0;357;0;0;0;357;0;0;0
RODENHUIZE;KNIPPEGROEN;Gas;B;E001;380;70;350;350;350;350;350;350;350;350;350;350
RODENHUIZE;HAM 1;Gas;B;E001;380;31,2;156;156;156;156;156;156;156;156;156;156
RODENHUIZE;LANGERBRUGGE;Gas;B;E001;380;7,4;37;37;37;37;37;37;37;37;37;37
RODENHUIZE;ZELZATE 2;Gas;B;E001;380;61;305;305;305;305;305;305;305;305;305;305
RODENHUIZE;ZELZATE 1;Öl;B;E001;380;3,6;18;0;0;0;0;0;0;0;0;0
SERAING;SERAING;Gas;B;E001;220;90;450;0;0;0;0;0;0;0;0;0
SERAING;ANGLEUR;Gas;B;E001;220;47,6;238;238;238;238;238;238;238;238;238;238
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;94;94;94;0;0;0;94;0;0;0
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016;3016;3016;3016;3016;3016;3016;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;385;385;385;385;338,1686;385;385;385;385;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;395;395;395;395;0;0;395;395;395;395
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;0;0;0;0;0;0;0;0;0
MONCEAU;PLATE-TAILLE;Pumpspeicher;B;E003;220;-144;144;0;0;0;0;0;0;0;0;0
AMAGER;AMAGERVAERKET;Steinkohle;DK_O;E001;150;122,445;409;409;409;409;409;409;409;409;409;409
ASNAES POWER STATION;ASNAESVAERKET;Ölschiefer;DK_O;E001;380;211,03;1056;0;211,03;211,03;0;0;211,03;0;0;211,03
AVEDÖRE POWER STATION;AVEDÖRE VAERKET;Gas;DK_O;E001;380;161,63;809;809;809;809;809;809;809;809;809;809
BORUP;HILLERÖD;Gas;DK_O;E001;150;15,03;76;76;76;76;76;76;76;76;76;76
GLENTEGÄRD;DTU;Gas;DK_O;E001;380;7,23;37;37;37;37;37;37;37;37;37;37
H. C. ÖRSTED POWER STATION;H. C. ÖRSTED VAERKET;Gas;DK_O;E001;380;26,23;132;132;132;132;132;132;132;132;132;132
HASLEV;HASLEV;Heizkraftwerk;DK_O;E001;150;0;4;4;4;4;4;4;4;4;4;4
HEJNINGE;SLAGELSE;Heizkraftwerk;DK_O;E001;150;0;10;10;10;10;10;10;10;10;10;10
KYNDBY;KYNDBYVAERKET;Öl;DK_O;E001;380;134,83;675;635,929;496,605;468,072;477,859;598,159;496,605;187,081;348,613;468,072
RINGSTED;RINGSTED;Gas;DK_O;E001;150;1,83;10;10;10;10;10;10;10;10;10;10
STIGSNAES;STIGSNAESVAERKET;Steinkohle;DK_O;E001;150;122,145;408;408;408;408;408;408;408;408;408;408
SVANEMÖLLE;SVANEMÖLLEVAERKET;Steinkohle;DK_O;E001;150;23,745;80;80;80;80;80;80;80;80;80;80
TEGLSTRUPGÄRD;HELSINGÖR;Gas;DK_O;E001;150;11,03;56;56;56;56;56;56;56;56;56;56
VALSEVAERKET;HELSINGE;Gas;DK_O;E001;150;0,25;2;2;2;2;2;2;2;2;2;2
VESTLOLLAND;MARIBO;Heizkraftwerk;DK_O;E001;150;0;8;8;8;8;8;8;8;8;8;8
ABILDSKOV;GLAMSBJERG;Gas;DK_W;E001;150;0,37;2;0;0;2;0;0;0;0;0;2
ÄSTRUP;GRENÄ;Heizkraftwerk;DK_W;E001;150;0;17;17;17;17;17;17;17;17;17;17
BREDEKAER;HJÖRRING;Gas;DK_W;E001;150;11,63;59;0;0;59;0;0;0;29,029;0;59
ENSTED;ENSTED VAERKET;Steinkohle;DK_W;E001;220;186,945;624;624;624;624;470,606;624;624;624;624;624
ESBJERG;ESBJERG VAERKET;Steinkohle;DK_W;E001;150;112,845;377;377;377;377;377;377;377;377;377;377
FYNS;FYNS VAERKET;Steinkohle;DK_W;E001;380;201,945;674;674;674;674;674;674;674;674;674;674
HATTING;HORSENS;Müll;DK_W;E001;150;0;34;34;34;34;34;34;34;34;34;34
HERNING;HERNING;Gas;DK_W;E001;150;17,43;88;0;0;78,108;0;0;0;0;0;78,108
LYKKEGÄRD;BRAMMING;Gas;DK_W;E001;150;2,77;14;0;0;14;0;0;0;0;0;14
MAGSTRUP;HADERSLEV;Müll;DK_W;E001;150;0;2;2;2;2;2;2;2;2;2;2
MOSELUND;RANDERS;Steinkohle;DK_W;E001;150;15,045;51;51;51;51;51;51;51;51;51;51
NIBSTRUP;TAARS;Gas;DK_W;E001;150;0,63;4;0;0;4;0;0;0;0;0;4
NORDJYLLANDS;NORDJYLLANDS VAERKET 1;Steinkohle;DK_W;E001;380;197,445;659;477,981;569,875;659;197,445;498,751;569,875;659;395,697;659
SKAERBAEKVAERKET;SKAERBAEKVAERKET;Gas;DK_W;E001;380;78,03;391;0;0;0;0;0;0;0;0;0
STRUER;MÄBJERG;Heizkraftwerk;DK_W;E001;150;0;27;27;27;27;27;27;27;27;27;27
STUDSTRUP;STUDSTRUPVAERKET;Ölschiefer;DK_W;E001;380;139,63;699;0;0;0;0;0;0;0;0;0
SVENDBORG;RUDKÖBING;Heizkraftwerk;DK_W;E001;150;0;1;1;1;1;1;1;1;1;1;1
TANGE;BJERRINGBRO;Gas;DK_W;E001;150;2,03;11;0;0;0;0;0;0;0;0;0
THYREGOD;NÖRRE SNEDE;Gas;DK_W;E001;150;0,35;2;0;0;0;0;0;0;0;0;0
THYREGOD;BRANDE;Gas;DK_W;E001;150;0,57;3;0;0;0;0;0;0;0;0;0
TANGE;TANGEVAERKET;Wasserspeicher;DK_W;E003;150;0;10;0;0;0;0;0;0;0;0;0
ARAMON;ARAMON;Öl;F;E001;380;297,186;1486;0;0;0;0;0;0;0;0;0
ARRIGHI;ARRIGHI;Gas;F;E001;220;67,186;336;336;336;336;0;336;336;336;336;336
BAIXAS;CALCE;Müll;F;E001;380;0;108;108;108;108;108;108;108;108;108;108
BATZENDORF;SCHWEIGHOUSE-SUR-MODER;Müll;F;E001;220;0;89;89;89;89;89;89;89;89;89;89
BAYET;BAYET;Gas;F;E001;380;98,786;494;494;190;494;0;494;190;0;407,6809;494
BEAUCHAMPS;IKOS - FRESNOY FOLNY;Gas;F;E001;220;17,366;87;87;0;87;0;87;0;0;0;87
BEAUREGARD;BLOIS;Müll;F;E001;220;0;92;92;92;92;92;92;92;92;92;92
BELLEVILLE;BELLEVILLE;KKW;F;E001;380;1834;2620;2620;2620;2620;2620;2620;2620;2620;2620;2620
BERANVILLE;EVREUX;Müll;F;E001;220;0;93;93;93;93;93;93;93;93;93;93
BRAEK;BRAEK;Gas;F;E001;220;177,186;886;886;886;886;0;886;886;886;886;886
BRENNILIS;BRENNILIS;Gas;F;E001;220;76,186;381;381;0;381;0;0;0;0;0;381
CAEN;LDC;Gas;F;E001;220;17,246;87;87;87;87;41;87;87;87;87;87
CANTEGRIT;PONTENX-LES-FORGES;Müll;F;E001;380;0;89;89;89;89;89;89;89;89;89;89
CATTENOM;CATTENOM;KKW;F;E001;380;3640;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200
CERGY;AZALYS;Müll;F;E001;380;0;96;96;96;96;96;96;96;96;96;96
