$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
OTTENSHEIM;LINZ;Müll;O;E001;220;0;76;2,4963e-13;1,6431e-12;4,2107e-09;6,2505e-12;9,8058e-10;1,6431e-12;4,0291e-13;2,4377e-11;4,2107e-09
ROSEGG;ARNOLDSTEIN;Müll;O;E001;220;0;66;2,4949e-13;1,643e-12;4,21e-09;6,2403e-12;9,8049e-10;1,643e-12;4,0284e-13;2,4351e-11;4,21e-09
SALZACH;RIEDERSBACH 1;Steinkohle;O;E001;220;34,044;114;34,044;34,044;34,044;34,044;34,044;34,044;34,044;34,044;34,044
SALZACH;RIEDERSBACH 2;Steinkohle;O;E001;220;67,944;227;67,944;67,944;67,944;67,944;67,944;67,944;67,944;67,944;67,944
SALZACH;SALZBURG NORD;Heizkraftwerk;O;E001;220;0;73;44,544;45,7421;44,8405;46,8498;45,2946;45,7421;44,6737;42,8722;44,8405
SALZACH;SALZBURG MITTE;Heizkraftwerk;O;E001;220;0;143;81,5799;84,491;83,3118;88,7042;84,8039;84,491;81,7471;79,4524;83,3118
SATTLEDT;WELS;Müll;O;E001;220;0;88;2,4979e-13;1,6433e-12;4,2113e-09;6,2621e-12;9,8066e-10;1,6433e-12;4,0298e-13;2,4402e-11;4,2113e-09
WIEN SÜDOST;SIMMERING;Gas;O;E001;380;187,496;938;187,496;187,496;187,496;187,496;187,496;187,496;187,496;187,496;187,496
WIEN SÜDOST;LEOPOLDAU;Gas;O;E001;380;42,696;214;42,696;42,696;42,696;42,696;42,696;42,696;42,696;42,696;42,696
WIEN SÜDOST;PFAFFENAU;Müll;O;E001;380;0;73;2,4959e-13;1,6431e-12;4,2105e-09;6,2474e-12;9,8056e-10;1,6431e-12;4,0289e-13;2,437e-11;4,2105e-09
WIEN SÜDOST;SPITTELAU;Müll;O;E001;380;0;66;2,4949e-13;1,643e-12;4,21e-09;6,2403e-12;9,8049e-10;1,643e-12;4,0284e-13;2,4351e-11;4,21e-09
HÄUSLING;HÄUSLING;Pumpspeicher;O;E003;220;-360;366;366;366;366;366;366;366;366;366;366
KAPRUN;KAPRUN LIMBERG II;Pumpspeicher;O;E003;220;-480;486;486;486;486;486;486;486;486;486;486
KAPRUN;REMSACH;Wasserspeicher;O;E003;220;0;37;37;37;37;37;37;37;37;37;37
KAPRUN;BÖCKSTEIN;Wasserspeicher;O;E003;220;0;52;52;52;52;52;52;52;52;52;52
KAPRUN;NASSFELD;Wasserspeicher;O;E003;220;-31,5;38;38;38;38;38;38;38;38;38;38
KAPRUN;KAPRUN-HAUPTSTUFE;Wasserspeicher;O;E003;220;0;246;246;246;246;246;246;246;246;246;246
KAPRUN;KAPRUN-OBERSTUFE;Pumpspeicher;O;E003;220;-130;119;119;119;119;119;119;119;119;119;119
KAPRUN;BÄRENWERK;Wasserspeicher;O;E003;220;0;18;18;18;18;18;18;18;18;18;18
KOPS I;RIFAWERK;Pumpspeicher;O;E003;220;-8;13;13;13;13;13;13;13;13;13;13
KOPS I;VERMUNT;Wasserspeicher;O;E003;220;0;191;191;191;191;191;191;191;191;191;191
KOPS I;KOPSWERK I;Wasserspeicher;O;E003;220;0;253;253;253;253;253;253;253;253;253;253
KOPS I;KOPSWERK II;Wasserspeicher;O;E003;220;0;456;456;456;456;456;456;456;456;456;456
KÜHTAI;KÜHTAI;Pumpspeicher;O;E003;220;-250;295;295;295;295;295;295;295;295;295;295
LIENZ;FELDSEE;Wasserspeicher;O;E003;380;0;146;146;146;146;146;146;146;146;146;146
LIENZ;ZIRKNITZ;Wasserspeicher;O;E003;380;0;38;38;38;38;38;38;38;38;38;38
LIENZ;AUßERFRAGANT;Wasserspeicher;O;E003;380;0;72;72;72;72;72;72;72;72;72;72
LIENZ;INNERFRAGANT;Wasserspeicher;O;E003;380;0;114;114;114;114;114;114;114;114;114;114
LÜNERSEE;LÜNERSEE;Pumpspeicher;O;E003;220;-224;238;238;238;238;238;238;238;238;238;238
LÜNERSEE;WALGAU;Wasserspeicher;O;E003;220;0;100;100;100;100;100;100;100;100;100;100
MALTA;ZEDERHAUS;Wasserspeicher;O;E003;220;0;16;16;16;16;16;16;16;16;16;16
MALTA;KREUZECK;Wasserspeicher;O;E003;220;0;51;51;51;51;51;51;51;51;51;51
MALTA;ROTGÜLDEN;Wasserspeicher;O;E003;220;0;11;11;11;11;11;11;11;11;11;11
MALTA;MURFALL;Wasserspeicher;O;E003;220;0;7;7;7;7;7;7;7;7;7;7
MALTA;HINTERMUHR;Pumpspeicher;O;E003;220;-104;110;110;110;110;110;110;110;110;110;110
MALTA;REIßECK;Wasserspeicher;O;E003;220;0;97;97;97;97;97;97;97;97;97;97
MALTA;MALTA-HAUPTSTUFE;Pumpspeicher;O;E003;220;-580;736;736;736;736;736;736;736;736;736;736
MALTA;MALTA-OBERSTUFE;Pumpspeicher;O;E003;220;-120;126;126;126;126;126;126;126;126;126;126
MAYRHOFEN;MAYRHOFEN;Wasserspeicher;O;E003;220;0;351;351;351;351;351;351;351;351;351;351
PRUTZ;PRUTZ;Wasserspeicher;O;E003;220;0;376;376;376;376;376;376;376;376;376;376
PRUTZ;KAUNERTAL;Wasserspeicher;O;E003;220;0;398;398;398;398;398;398;398;398;398;398
PYHRN;HIEFLAU;Wasserspeicher;O;E003;220;0;69;69;69;69;69;69;69;69;69;69
RODUND;RODUND;Pumpspeicher;O;E003;220;-317;499;499;499;499;499;499;499;499;499;499
RODUND;LATSCHAUWERK;Wasserspeicher;O;E003;220;0;15;15;15;15;15;15;15;15;15;15
ROßHAG;ROßHAG;Pumpspeicher;O;E003;220;-240;237;237;237;237;237;237;237;237;237;237
SALZACH;STRUBKLAMM;Wasserspeicher;O;E003;220;0;21;21;21;21;21;21;21;21;21;21
SALZACH;WIESTAL;Wasserspeicher;O;E003;220;0;34;34;34;34;34;34;34;34;34;34
SILZ;SILZ;Pumpspeicher;O;E003;220;-500;506;506;506;506;506;506;506;506;506;506
ST. ANDRÄ;KORALPE;Pumpspeicher;O;E003;220;-50;56;56;56;56;56;56;56;56;56;56
TAUERN;DIESSBACH;Wasserspeicher;O;E003;380;0;32;32;32;32;32;32;32;32;32;32
TAUERN;SCHWARZACH;Wasserspeicher;O;E003;380;0;126;126;126;126;126;126;126;126;126;126
THAUR;ACHENSEE;Wasserspeicher;O;E003;220;0;85;85;85;85;85;85;85;85;85;85
WEIßENBACH;GOSAU;Wasserspeicher;O;E003;220;0;13;13;13;13;13;13;13;13;13;13
WEIßENBACH;SALZA;Wasserspeicher;O;E003;220;0;14;14;14;14;14;14;14;14;14;14
WEIßENBACH;MANDLING;Wasserspeicher;O;E003;220;0;12;12;12;12;12;12;12;12;12;12
WEIßENBACH;SÖLK;Wasserspeicher;O;E003;220;0;67;67;67;67;67;67;67;67;67;67
WERBEN;LANGENEGG;Wasserspeicher;O;E003;220;0;80;80;80;80;80;80;80;80;80;80
ZELL/ZILLER;FUNSINGAU;Wasserspeicher;O;E003;380;0;31;31;31;31;31;31;31;31;31;31
ZELL/ZILLER;HOLLERSBACH;Wasserspeicher;O;E003;380;0;11;11;11;11;11;11;11;11;11;11
ZELL/ZILLER;TRATTENBACH;Wasserspeicher;O;E003;380;0;11;11;11;11;11;11;11;11;11;11
ZELL/ZILLER;GERLOS;Wasserspeicher;O;E003;380;0;206;206;206;206;206;206;206;206;206;206
ZELTWEG;ST. MARTIN;Wasserspeicher;O;E003;220;0;16;16;16;16;16;16;16;16;16;16
ZELTWEG;BÖSDORNAU;Wasserspeicher;O;E003;220;0;31;31;31;31;31;31;31;31;31;31
ZELTWEG;BODENDORF-PAAL;Wasserspeicher;O;E003;220;0;33;33;33;33;33;33;33;33;33;33
ZELTWEG;ARNSTEIN;Wasserspeicher;O;E003;220;0;36;36;36;36;36;36;36;36;36;36
ADAMOW;ADAMOW;Braunkohle;Z;E001;220;420;600;600;600;600;600;600;600;600;600;600
BLACHOZNIA;BLACHOWNIA;Bitumen;Z;E001;220;0;165;79,6234;79,3293;79,4052;74,6541;75,191;79,3293;72,0628;76,2855;79,4052
BUJAKOW;BIELSKO-BIALA;Bitumen;Z;E001;220;0;75;35,5432;35,4058;35,3643;34,5278;34,7179;35,4058;34,2741;35,4155;35,3643
BYCZYNA;JAWORZNO;Bitumen;Z;E001;220;0;1540;423,2717;436,9918;408,5474;362,448;340,9762;436,9918;301,8126;366,8692;408,5474
BYDGOSZCZ ZACHOD;BYDGOSZCZ;Braunkohle;Z;E001;220;158,9;227;227;227;227;227;227;227;227;227;227
CZECZOT;BIELSKO-POLNOC;Bitumen;Z;E001;220;0;55;25,7152;25,5687;25,5553;25,1814;25,3331;25,5687;25,2766;25,9498;25,5553
DOBRZEN;OPOLE;Steinkohle;Z;E001;380;288;960;960;960;960;960;960;960;960;960;960
GDANSK I;GDANSK;Braunkohle;Z;E001;380;225,75;323;323;323;323;323;323;323;323;323;323
GDANSK I;WYBREZE;Braunkohle;Z;E001;380;231,7;331;331;331;331;331;331;331;331;331;331
GORZOW;GORZOW;GuD;Z;E001;220;11;55;55;55;55;55;55;55;55;55;55
HALEMBA;HALEMBA;Bitumen;Z;E001;220;0;200;96,4013;95,9991;96,1175;89,2842;89,9935;95,9991;85,5593;91,3184;96,1175
KATOWICE;ELCHO CHORZOW;Bitumen;Z;E001;220;0;220;105,8541;105,3839;105,5137;97,3968;98,1969;105,3839;92,9788;99,6814;105,5137
KIELCE;KIELCE;Bitumen;Z;E001;380;0;300;142,5548;141,7835;141,8449;128,1276;129,1415;141,7835;120,6505;131,4918;141,8449
KLECINA;WROCLAW;Bitumen;Z;E001;220;0;263;125,8092;125,1823;125,2986;114,2468;115,1986;125,1823;108,2382;117,1023;125,2986
KONIN;KONIN;Braunkohle;Z;E001;220;341,6;488;488;488;488;488;488;488;488;488;488
KOPANINA;LAZISKA;Bitumen;Z;E001;220;0;1030;380,8105;387,4491;373,8594;324,2711;311,1126;387,4491;274,1709;324,1617;373,8594
KOPANINA;TYCHY II;Bitumen;Z;E001;220;0;40;18,4043;18,2381;18,2768;18,1276;18,2483;18,2381;18,399;18,784;18,2768
KOZIENICE;KOZIENICE;Bitumen;Z;E001;380;0;2940;472,9063;496,6606;438,7898;405,3529;372,8838;496,6606;333,1642;418,7106;438,7898
KRAJNIK;DOLNA ODRA;Bitumen;Z;E001;380;0;1832;438,653;455,5077;419,2447;376,2115;351,6164;455,5077;311,8198;382,9132;419,2447
LAGISZA;LAGISZA;Bitumen;Z;E001;380;0;1300;406,7016;417,318;395,8028;347,4299;329,24;417,318;290,9067;349,7962;395,8028
LAGISZA;BEDZIN;Bitumen;Z;E001;380;0;82;38,9916;38,8524;38,81;37,7696;37,9757;38,8524;37,373;38,6995;38,81
LESNIOW;ZIELONA GORA;Gas;Z;E001;220;39,6;198;198;198;198;198;198;198;198;198;198
LUBLIN;LUBLIN-WROTKOW;Gas;Z;E001;380;47;235;235;235;235;235;235;235;235;235;235
LUBOCZA;KRAKOW;Bitumen;Z;E001;220;0;460;210,387;208,9136;208,3041;182,5554;182,7962;208,9136;167,8138;187,8831;208,3041
MIKULOWA;TUROW;Braunkohle;Z;E001;380;1400;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
MORY;SIEKIERKI;KWK (Steinkohle);Z;E001;220;0;622;622;622;622;622;622;622;622;622;622
MOSCISKA;ZERAN;KWK (Bitumen);Z;E001;380;0;250;250;250;250;250;250;250;250;250;250
OSTROLEKA;OSTROLEKA;Bitumen;Z;E001;220;0;600;264,2395;262,0694;260,3754;224,6196;222,676;262,0694;202,4761;230,7928;260,3754
PASKUROWICE;KOGENERACJA;KWK (Bitumen);Z;E001;380;0;363;363;363;363;363;363;363;363;363;363
PATNOW;PATNOW;Braunkohle;Z;E001;220;884,8;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264
POLANIEC;POLANIEC;Bitumen;Z;E001;380;0;1600;426,7898;441,2114;411,094;365,6204;343,4435;441,2114;304,1183;370,5302;411,094
POZNAN POLUDNIE;DALKIA POZNAN;Braunkohle;Z;E001;220;192,5;275;275;275;275;275;275;275;275;275;275
ROGOWIEC;BELCHATOW;Braunkohle;Z;E001;380;3108;4440;4440;4440;4440;4440;4440;4440;4440;4440;4440
ROKITNICA;MIECHOWICE;Bitumen;Z;E001;380;0;125;60,1452;59,9501;59,9571;57,2548;57,6045;59,9501;55,8194;58,4983;59,9571
ROKITNICA;ZABRZE;Bitumen;Z;E001;380;0;74;35,0508;34,9134;34,8724;34,0632;34,2513;34,9134;33,8293;34,945;34,8724
RZESZOW;RZESZOW;Gas;Z;E001;380;20,2;101;101;101;101;101;101;101;101;101;101
SIERSZA;SIERSZA;Bitumen;Z;E001;220;0;676;291,7257;289,1463;286,6906;245,9797;242,3609;289,1463;219,5126;252,1589;286,6906
SKAWINA;SKAWINA;Bitumen;Z;E001;220;0;490;222,3219;220,705;219,8992;191,9273;191,8141;220,705;175,6738;197,5222;219,8992
STALOWA WOLA;STALOWA WOLA;Bitumen;Z;E001;220;0;250;119,8312;119,253;119,379;109,2362;110,1498;119,253;103,7221;111,9156;119,379
STALOWA WOLA;NOWA SARZYNA;Gas;Z;E001;220;23,2;116;116;116;116;116;116;116;116;116;116
TAMOW;TARNOW II;Bitumen;Z;E001;380;0;56;26,205;26,0595;26,0437;25,6511;25,8046;26,0595;25,7314;26,4258;26,0437
TAMOW;TARNOW I;GuD;Z;E001;380;0,746;4;4;4;4;4;4;4;4;4;4
WIELOPOLE;RYBRIK;Bitumen;Z;E001;380;0;1750;434,7439;450,7881;416,6341;372,7431;348,9535;450,7881;309,2969;378,8291;416,6341
ZGIERZ;DALKIA LODZ;Braunkohle;Z;E001;220;351,995;503;503;503;503;503;503;503;503;503;503
BUJAKOW;TRESNA;Wasserspeicher;Z;E003;220;0;34;34;34;34;34;34;34;34;34;34
BUJAKOW;PORABKA;Wasserspeicher;Z;E003;220;0;25;25;25;25;25;25;25;25;25;25
BUJAKOW;PORABKA ZAR;Pumpspeicher;Z;E003;220;0;513;513;513;513;513;513;513;513;513;513
CIEPLICE;BOBROWICE;Wasserspeicher;Z;E003;220;0;14;14;14;14;14;14;14;14;14;14
CIEPLICE;PILCHOWICE;Wasserspeicher;Z;E003;220;0;20;20;20;20;20;20;20;20;20;20
GDANSK BLONIA;BIELKOWO;Wasserspeicher;Z;E003;380;0;20;20;20;20;20;20;20;20;20;20
JASINIEC;KORONOWO;Wasserspeicher;Z;E003;220;0;39;39;39;39;39;39;39;39;39;39
JASINIEC;ZUR;Wasserspeicher;Z;E003;220;0;21;21;21;21;21;21;21;21;21;21
KLECINA;GRODEK;Wasserspeicher;Z;E003;220;0;16;16;16;16;16;16;16;16;16;16
KROSNO-ISKRZYNIA;MYCZKOWCE;Wasserspeicher;Z;E003;380;0;21;21;21;21;21;21;21;21;21;21
KROSNO-ISKRZYNIA;SOLINA;Pumpspeicher;Z;E003;380;0;213;213;213;213;213;213;213;213;213;213
LESNIOW;DYCHOW;Pumpspeicher;Z;E003;220;0;103;103;103;103;103;103;103;103;103;103
MOSCISKA;DEBE;Wasserspeicher;Z;E003;380;0;33;33;33;33;33;33;33;33;33;33
SKAWINA;NIEDZICA;Pumpspeicher;Z;E003;220;0;107;107;107;107;107;107;107;107;107;107
TAMOW;CZCHOW;Wasserspeicher;Z;E003;380;0;21;21;21;21;21;21;21;21;21;21
TAMOW;ROZNOW;Wasserspeicher;Z;E003;380;0;63;63;63;63;63;63;63;63;63;63
ZARNOWIEC;ZARNOWIEC;Pumpspeicher;Z;E003;380;0;729;729;729;729;729;729;729;729;729;729
ZYDOWO;ZYDOWO;Pumpspeicher;Z;E003;220;0;163;163;163;163;163;163;163;163;163;163
BENKEN;NIEDERURNEN;Müll;S;E001;380;0;26;2,4778e-13;1,6413e-12;4,2028e-09;6,1054e-12;9,7938e-10;1,6413e-12;4,0191e-13;2,4106e-11;4,2028e-09
BEZNAU;BEZNAU;KKW;S;E001;380;511;730;511;511;511;511;511;511;511;511;511
BIRR;TURGI;Müll;S;E001;220;0;26;2,4778e-13;1,6413e-12;4,2028e-09;6,1054e-12;9,7938e-10;1,6413e-12;4,0191e-13;2,4106e-11;4,2028e-09
GERLAFINGEN;ZUCHWIL;Müll;S;E001;220;0;25;2,4763e-13;1,6412e-12;4,2024e-09;6,0867e-12;9,7931e-10;1,6412e-12;4,0184e-13;2,4092e-11;4,2024e-09
GÖSGEN;GÖSGEN;KKW;S;E001;380;689,5;985;689,5;689,5;689,5;689,5;689,5;689,5;689,5;689,5;689,5
HAUTERIVE;FRIBOURG;Müll;S;E001;220;0;23;2,4729e-13;1,6409e-12;4,2015e-09;6,0401e-12;9,7914e-10;1,6409e-12;4,0171e-13;2,4062e-11;4,2015e-09
KERZERS;COLOMBIER;Müll;S;E001;220;0;19;2,4655e-13;1,6402e-12;4,199e-09;5,9059e-12;9,7868e-10;1,6402e-12;4,0135e-13;2,3988e-11;4,199e-09
LACHMATT;BASEL;Müll;S;E001;220;0;30;2,4826e-13;1,6417e-12;4,2042e-09;6,1571e-12;9,7961e-10;1,6417e-12;4,0211e-13;2,4152e-11;4,2042e-09
LEIBSTADT;LEIBSTADT;KKW;S;E001;380;833;1190;833;833;833;833;833;833;833;833;833
MAPRAGG;UNTERVAZ;Müll;S;E001;380;0;25;2,4763e-13;1,6412e-12;4,2024e-09;6,0867e-12;9,7931e-10;1,6412e-12;4,0184e-13;2,4092e-11;4,2024e-09
MÜHLEBERG;MÜHLEBERG;KKW;S;E001;220;261,1;373;261,1;261,1;261,1;261,1;261,1;261,1;261,1;261,1;261,1
MÜHLEBERG;BIEL;Müll;S;E001;220;0;25;2,4763e-13;1,6412e-12;4,2024e-09;6,0867e-12;9,7931e-10;1,6412e-12;4,0184e-13;2,4092e-11;4,2024e-09
SEEBACH;AUBRUGG;Heizkraftwerk;S;E001;220;0;24;14,0621;14,5247;14,2378;14,2827;14,2994;14,5247;13,9512;13,5648;14,2378
ST. TRIPHON;MONTHEL;Gas;S;E001;220;13,528;68;13,528;13,528;13,528;13,528;13,528;13,528;13,528;13,528;13,528
VERBOIS;LES CHENEVIERS;Müll;S;E001;380;0;44;2,4902e-13;1,6426e-12;4,2073e-09;6,2151e-12;9,8008e-10;1,6426e-12;4,0252e-13;2,4261e-11;4,2073e-09
WIMMIS;THUN;Müll;S;E001;220;0;25;2,4763e-13;1,6412e-12;4,2024e-09;6,0867e-12;9,7931e-10;1,6412e-12;4,0184e-13;2,4092e-11;4,2024e-09
WINKELN;ST. GALLEN;Müll;S;E001;220;0;19;2,4655e-13;1,6402e-12;4,199e-09;5,9059e-12;9,7868e-10;1,6402e-12;4,0135e-13;2,3988e-11;4,199e-09
WITTENWIL;BAZENHEID;Müll;S;E001;220;0;15;2,4633e-13;1,639e-12;4,1952e-09;5,755e-12;9,779e-10;1,639e-12;4,0079e-13;2,3872e-11;4,1952e-09
AVEGNO;MAGGIA;Wasserspeicher;S;E003;220;0;626;626;626;626;626;626;626;626;626;626
BÄRENBURG;BÄRENBURG;Wasserspeicher;S;E003;220;0;220;220;220;220;220;220;220;220;220;220
BÄRENBURG;HINTERRHEIN;Wasserspeicher;S;E003;220;0;651;651;651;651;651;651;651;651;651;651
BATIAZ;BATIAZ;Wasserspeicher;S;E003;220;0;160;160;160;160;160;160;160;160;160;160
BATIAZ;VERNAYAZ;Wasserspeicher;S;E003;220;0;92;92;92;92;92;92;92;92;92;92
BAVONA;BAVONA;Wasserspeicher;S;E003;220;0;124;124;124;124;124;124;124;124;124;124
BENKEN;AM LÖNTSCH;Wasserspeicher;S;E003;380;0;90;90;90;90;90;90;90;90;90;90
BIASCA;BIASCA;Wasserspeicher;S;E003;220;0;324;324;324;324;324;324;324;324;324;324
BITSCH;BITSCH;Wasserspeicher;S;E003;220;0;331;331;331;331;331;331;331;331;331;331
CASTASEGNA;CASTASEGNA;Wasserspeicher;S;E003;220;0;100;100;100;100;100;100;100;100;100;100
